trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.3207813055351481}",20,0,-127.89727435036569,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.3157813055351481}",25,0,-65.40495010801321,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.3107813055351481}",25,0,-38.7581222460885,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.3057813055351481}",20,0,-148.8386802793536,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.3007813055351481}",20,0,-12.774708382569642,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.2957813055351481}",25,0,-162.46014650190384,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.2907813055351481}",25,0,-65.68979050716376,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.2857813055351481}",20,0,-59.46662341280639,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.2807813055351481}",20,0,-102.61299245764249,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.27578130553514807}",20,0,-102.51739481203144,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.27078130553514806}",20,0,-163.74458277208552,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.26578130553514806}",30,0,-64.85303161214301,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.26078130553514806}",30,0,-79.50914762406111,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.25578130553514805}",30,0,-32.706949443136835,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.25078130553514805}",20,0,-14.479544699065897,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.24578130553514804}",25,0,-171.10385323086155,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.24078130553514804}",25,0,-1.6471057723412592,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.23578130553514803}",30,10,-25.145102581948535,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.23078130553514803}",30,0,-28.863891561353398,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
