trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.009, 'e': 1.0}",20,1,-16.365738827545073,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.009, 'e': 0.9999595002733742}",20,0,-155.1717655319881,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.009, 'e': 0.9998380043739528}",30,0,-155.10197555401135,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.009, 'e': 0.9996355221428369}",20,0,-105.75993371698077,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.009, 'e': 0.9993520699809768}",20,0,-113.96252503950578,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.009, 'e': 0.9989876708478425}",20,0,-137.68416612273376,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.009, 'e': 0.9985423542595644}",20,0,-131.8198610940889,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.009, 'e': 0.9980161562865429}",20,0,-85.98317307324866,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.009, 'e': 0.9974091195505261}",20,0,-32.91083901236161,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.009, 'e': 0.9967212932211577}",20,0,-86.1779211150663,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.009, 'e': 0.9959527330119943}",20,9,-11.376606218342818,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.009, 'e': 0.9951035011759926}",25,0,-154.1394051268937,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.009, 'e': 0.9941736665004669}",25,0,-122.95347623066054,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.009, 'e': 0.9931633043015177}",30,8,-115.8055838545876,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.009, 'e': 0.9920724964179307}",25,0,-59.251892691479895,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.009, 'e': 0.9909013312045479}",30,0,-119.96043797932549,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.009, 'e': 0.9896499035251115}",20,0,-102.91775422167328,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
18,False,"{'a': 0.009, 'e': 0.9883183147445792}",25,0,-121.97674053248086,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.009, 'e': 0.9869066727209141}",20,11,-19.249966886051983,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.009, 'e': 0.9854150917963483}",20,0,-58.34267122839442,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.009, 'e': 0.9838436927881214}",30,0,-192.87400532725212,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
22,False,"{'a': 0.009, 'e': 0.9821926029786937}",25,0,-158.02244862464283,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
23,False,"{'a': 0.009, 'e': 0.9804619561054371}",20,0,-65.13534903421368,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.009, 'e': 0.978651892349802}",20,0,-230.6423681719478,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 5}",0
25,False,"{'a': 0.009, 'e': 0.9767625583259631}",25,0,-87.37669265797703,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.009, 'e': 0.9747941070689433}",25,0,-82.2923248531747,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.009, 'e': 0.9727466980222181}",30,0,-300.4644630566131,"{0: 11, 1: 2, 2: 10, 3: 4, 4: 3}",0
28,False,"{'a': 0.009, 'e': 0.970620497024801}",20,0,-51.265361891088304,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
29,False,"{'a': 0.009, 'e': 0.9684156762978101}",25,0,-113.92015769838675,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.009, 'e': 0.966132414430519}",25,0,-74.66836301027006,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
31,False,"{'a': 0.009, 'e': 0.9637708963658905}",20,0,-70.60327628231714,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.009, 'e': 0.9613313133855967}",25,0,-104.82150805610081,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.009, 'e': 0.9588138630945251}",20,1,-51.8896481433158,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 0}",1
34,False,"{'a': 0.009, 'e': 0.9562187494047729}",20,0,-138.94692844531252,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
