trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.32349174263207,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-171.86826706949205,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,6,-73.95023942327074,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,13,-12.51932404561505,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-60.32629723149071,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8011436155469337}",30,12,-48.687563038612154,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9899924966004454}",25,0,-154.5279085718889,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,3,-147.1996698632184,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.6536436208636119}",25,0,-50.24054831444704,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.21079579943077972}",20,0,-98.63357049614761,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-77.5049154378565,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-71.32728641526423,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9601702866503661}",25,0,-206.6463034266962,"{0: 8, 1: 7, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",35,20,-38.70781348414955,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",35,0,-193.12820152139508,"{0: 21, 1: 3, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-88.16573147511201,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,5,-35.83161384515091,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-112.56989689082785,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,10,-88.15189336609342,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9971721561963784}",30,0,-134.2789451883188,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-74.59349663574564,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,0,-134.58178751246805,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.004425697988050786}",20,0,4.415253633488387,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.4833047587530059}",25,0,-91.89479826996265,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8438539587324921}",35,0,-205.2818987935238,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.9977982791785807}",25,0,-207.67634056249227,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.9074467814501962}",25,0,-60.36730080715295,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.594920663309892}",20,0,-134.78893796114005,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,14,-8.951995725876873,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.354924266788705}",35,7,-71.10346686571778,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7596879128588212}",20,0,-87.26100562318798,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9784534628188842}",20,0,-120.13576275762361,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9576594803233847}",35,0,-101.88769166107397,"{0: 22, 1: 3, 2: 8, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7023970575027135}",30,6,-141.80177949191224,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.27516333805159693}",30,3,2.344579758836473,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.21943996321145934}",25,11,-43.82979281222961,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6603167082440802}",20,4,-24.075016698126046,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.939524893748256}",20,0,-21.36503985297933,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9887046181866692}",30,0,-170.94556599039504,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.7958149698139441}",35,0,-22.019082357965722,"{0: 29, 1: 2, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.40808206181339196}",30,0,-81.66769352310821,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,0,-31.61062173540073,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5477292602242685}",25,0,-195.24288034574388,"{0: 18, 1: 0, 2: 0, 3: 3, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.8817917275413242}",20,0,-123.53023452093129,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9999608263946371}",30,0,-102.3993925524896,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
