trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.3207813055351481}",30,2,-169.42378483601001,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 3}",1
2,False,"{'a': 0.01, 'e': 0.3157813055351481}",20,0,-112.51102766583567,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.3107813055351481}",20,0,-6.617985594278254,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.3057813055351481}",20,0,-64.06266993497186,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.3007813055351481}",30,3,-116.26505498713718,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 2}",1
6,False,"{'a': 0.01, 'e': 0.2957813055351481}",25,0,-53.68260377974703,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.2907813055351481}",20,0,-100.36473986545425,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.2857813055351481}",20,0,-58.34118987253096,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.2807813055351481}",25,17,12.530812587706725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.27578130553514807}",30,0,-128.77777269307023,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.27078130553514806}",20,0,-103.07615141242624,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.26578130553514806}",25,0,-91.35275757298474,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.26078130553514806}",25,0,-101.01585146039567,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.25578130553514805}",25,0,-37.77794767487813,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.25078130553514805}",20,0,12.685093992885113,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.24578130553514804}",25,0,-50.52645074087126,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
