trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.795}",20,0,-200.49353149926696,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.79}",20,0,-83.2269011948631,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.785}",25,0,-177.7681958022319,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.78}",35,0,-184.73148682380193,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.775}",20,0,-98.56376296344393,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.77}",25,0,-195.1327450776071,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.765}",30,0,-221.08989187742566,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.76}",20,0,-115.29585649525461,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.755}",25,0,-162.5919478817658,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.75}",20,0,-116.91338321141603,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.745}",30,5,-90.25214261401467,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.74}",30,0,-158.87519035230676,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.735}",25,7,-54.24004357878205,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.73}",30,2,-208.5278947792025,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.725}",30,0,-162.00107983886986,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.72}",30,0,-82.80299507301135,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.715}",35,0,-113.64850882572514,"{0: 23, 1: 4, 2: 5, 3: 3, 4: 0}",0
