trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.795}",25,0,-153.0114859293319,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.79}",25,0,-107.02029723874487,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.785}",25,0,-153.1396535546704,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.78}",30,0,-159.43997078568026,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.775}",20,0,-203.147808076629,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.77}",20,0,-135.8395388897031,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.765}",20,0,-135.041550529933,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.76}",20,0,-99.45868488614747,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.755}",20,0,-83.42688724502231,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.75}",20,0,-105.85718747689342,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.745}",30,0,-23.62416456197309,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.74}",25,0,-72.9605142829918,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.735}",20,0,-55.09747196418735,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.73}",30,0,-160.80845249722026,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.725}",20,0,-129.96692405135616,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.72}",25,0,-97.70962327081203,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.715}",25,0,-34.155671507637805,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.71}",20,11,-21.224201537082795,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.705}",20,0,-79.96013644102969,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7}",25,0,-140.14757553831495,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.695}",20,0,-70.4312894310989,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.69}",25,0,-66.25575090959232,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.6849999999999999}",25,0,-14.183886570906582,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.6799999999999999}",25,0,-125.0269015127903,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.6749999999999999}",20,3,-5.601687593707868,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6699999999999999}",20,0,-67.67438296144628,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.6649999999999999}",25,0,-29.227254155118068,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.6599999999999999}",25,0,-59.680368230595796,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.6549999999999999}",25,0,-56.548211993752616,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-105.35231533831777,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.6449999999999999}",20,0,-54.545443650214644,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.6399999999999999}",30,0,-79.10806438033664,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.6349999999999999}",30,0,-8.403598317606086,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6299999999999999}",30,0,-221.65213843334942,"{0: 17, 1: 1, 2: 6, 3: 3, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.6249999999999999}",25,0,-89.34811632684624,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6199999999999999}",25,0,-184.5319780671568,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.6149999999999999}",20,0,-45.39543656589128,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6099999999999999}",25,18,12.426535956191941,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6049999999999999}",20,16,7.562688649500671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.5999999999999999}",20,0,-33.644239973860856,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.5949999999999999}",25,0,-102.2686728263907,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.5899999999999999}",20,0,-103.93250196170081,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.5849999999999999}",20,0,-22.640574068737063,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5799999999999998}",25,0,-12.441519999296816,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.5749999999999998}",20,0,-55.89688217351898,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5699999999999998}",30,0,-96.63349766926507,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5649999999999998}",25,0,-128.45341317165853,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.5599999999999998}",20,2,-105.3989367914261,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.5549999999999998}",20,0,-47.888179869201245,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.5499999999999998}",25,5,-27.904150852029986,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5449999999999998}",25,0,-37.37015788945102,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5399999999999998}",30,0,-78.4487432097308,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5349999999999998}",25,2,26.761248388124926,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5299999999999998}",25,5,-22.777913176571108,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5249999999999998}",25,17,3.3948596621158114,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5199999999999998}",25,3,-94.36506309985376,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5149999999999998}",20,0,-10.197851177844699,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5099999999999998}",20,0,-18.264228453046275,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5049999999999998}",25,3,-2.246724226207599,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.4999999999999998}",35,0,-49.00551798795831,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.4949999999999998}",20,0,-37.76289499905922,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.48999999999999977}",20,0,-40.16141062020794,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.48499999999999976}",20,4,-4.394856234652352,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.47999999999999976}",20,9,-15.408873833690391,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.47499999999999976}",30,0,-68.59593079680262,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.46999999999999975}",30,2,-97.73117831569368,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.46499999999999975}",20,12,2.4676231322734496,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.45999999999999974}",30,14,-40.42390978702528,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.45499999999999974}",20,5,-23.899857454007634,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.44999999999999973}",25,0,-13.906453603849492,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.44499999999999973}",35,5,-163.50660513209576,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",1
72,False,"{'a': 0.5, 'e': 0.4399999999999997}",20,2,-57.65843998475422,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4349999999999997}",20,0,-10.53175802620205,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.4299999999999997}",20,0,-25.294583159932284,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4249999999999997}",25,10,-90.99212319881303,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.4199999999999997}",20,7,-67.67887002139655,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.4149999999999997}",30,12,-97.79478446438455,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.4099999999999997}",20,0,-70.70475781559061,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.4049999999999997}",30,0,-56.36388760187543,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.3999999999999997}",30,0,-8.944623714748705,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.3949999999999997}",30,18,-27.95243948787534,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.3899999999999997}",20,3,-21.23424347320305,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.3849999999999997}",20,10,7.2312397359154215,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.37999999999999967}",20,12,-19.738394319309432,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.37499999999999967}",25,0,-52.938209316242975,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.36999999999999966}",25,0,-94.48670539166346,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.36499999999999966}",25,11,-43.06035517853836,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.35999999999999965}",20,3,-32.97598742458104,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.35499999999999965}",20,1,-43.28808626264093,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,2.258702103943703,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.34499999999999964}",20,0,-19.286658561870098,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.33999999999999964}",25,3,33.41331428768713,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.33499999999999963}",20,2,-3.679753160134222,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3299999999999996}",20,8,-20.366496564033394,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3249999999999996}",25,14,11.895584030911419,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3199999999999996}",20,6,-4.293927208693582,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.3149999999999996}",25,0,-31.353420539644347,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.3099999999999996}",30,10,4.094714475976527,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3049999999999996}",25,18,-2.0410356363436724,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.2999999999999996}",20,1,-72.87223495984034,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.2949999999999996}",20,0,-75.86681183322955,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.2899999999999996}",20,13,-1.0853536114940754,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.2849999999999996}",30,10,-26.426976248658537,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.2799999999999996}",20,0,15.875502396373067,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.2749999999999996}",25,14,-34.46667456157697,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.2699999999999996}",25,20,9.20397079575782,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.26499999999999957}",20,0,-78.04651158851048,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.25999999999999956}",25,8,-34.13969697295324,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.25499999999999956}",20,16,7.5236493399728195,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.24999999999999956}",20,4,0.23341341401162707,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.24499999999999955}",20,0,-23.66276754306346,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.23999999999999955}",20,0,3.5811027132778364,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.23499999999999954}",20,4,7.631246170117542,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.22999999999999954}",25,18,12.88371068721691,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.22499999999999953}",35,12,19.886645274744936,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.21999999999999953}",20,13,-28.80790199511577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.21499999999999952}",20,0,4.3620266303773,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.20999999999999952}",20,0,-40.35876067647638,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.20499999999999952}",25,17,-25.657283589147056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.1999999999999995}",20,9,19.104014082925644,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.1949999999999995}",20,16,8.89161377961545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.1899999999999995}",25,10,-3.354445428903087,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
