trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",35,0,-177.74177509210213,"{0: 18, 1: 8, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-170.65535836947944,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",35,0,-249.72847442803453,"{0: 18, 1: 4, 2: 8, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-107.29042874411162,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-153.35128808335483,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,0,-143.67938871421694,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,-122.20536088968896,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-89.17125804090516,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,11,-2.591851847697062,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-107.28254560881761,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",30,0,-129.29764446312598,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-100.08721870614887,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-125.8075966697948,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-146.16102514143518,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-136.11627338454088,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-111.94624491224221,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-74.52088665497834,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-134.55231365296873,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-178.93827293983338,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-96.47773736416329,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,0,-129.17941589412962,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-50.87465794279605,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
