trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.795}",30,0,-96.46745032593017,"{0: 15, 1: 7, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.79}",20,0,-70.13656671563577,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.785}",20,0,-97.50542926823738,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.78}",20,0,-119.77976788830017,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.775}",20,0,-74.54169158965531,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.77}",25,0,-91.40410295261752,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.765}",30,0,-205.7706944100819,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.4, 'e': 0.76}",30,0,-127.81521963057602,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.755}",25,0,-52.29081226576743,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.75}",25,0,-29.651833337436788,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.745}",20,0,-57.89554623905992,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.74}",30,0,-107.81547749518946,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.735}",30,0,-202.33020616284426,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.73}",20,0,-66.17380976327709,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.725}",30,0,-43.81503826487097,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.72}",30,0,-117.23141712591966,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.4, 'e': 0.715}",25,0,-64.82516128039711,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.71}",20,0,-50.96542272068718,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.705}",30,0,-136.13709310926163,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.7}",20,0,-114.91408638930248,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.695}",20,0,-107.83703297098612,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.69}",25,15,-53.19727031466696,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.4, 'e': 0.6849999999999999}",30,0,-50.17383387198917,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.6799999999999999}",25,0,-121.57652121616562,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.6749999999999999}",20,0,-27.99168168066459,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.6699999999999999}",30,0,-125.32531157212144,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.6649999999999999}",25,0,-158.96156336303622,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
28,False,"{'a': 0.4, 'e': 0.6599999999999999}",20,0,-77.36607663243731,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
29,False,"{'a': 0.4, 'e': 0.6549999999999999}",25,8,-36.585146735985354,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.4, 'e': 0.6499999999999999}",20,0,-69.84148674378564,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.6449999999999999}",25,0,-11.29882146476535,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
32,False,"{'a': 0.4, 'e': 0.6399999999999999}",20,8,-40.00451745001052,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.4, 'e': 0.6349999999999999}",30,0,-93.27139731082032,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
34,False,"{'a': 0.4, 'e': 0.6299999999999999}",20,0,-40.641639482237395,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.4, 'e': 0.6249999999999999}",35,0,-61.17031746661907,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.4, 'e': 0.6199999999999999}",35,22,-61.894689618891725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
37,False,"{'a': 0.4, 'e': 0.6149999999999999}",25,15,3.5124903508974707,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.6099999999999999}",30,7,-83.59036810593119,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 2}",1
39,False,"{'a': 0.4, 'e': 0.6049999999999999}",20,0,-88.08306293956633,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
